product_code,company_name
B101AA20,"B101AA20
B Series Plastic 2NO (0-I) 60° Key Operated Stay Put Key Removal at 0 position 22 mm Control Unit"
B101AA21,"B101AA21
B Series Plastic 2NO (0-I) 60° Key Operated Spring Return Key Removal at 0 position 22 mm Control Unit"
B101AA30,"B101AA30
B Series Plastic 2NO (II-0-I) 60° Key Operated Stay Put Key Removal at 0 position 22 mm Control Unit"
B101AA31,"B101AA31
B Series Plastic 2NO (II-0-I) 60° Key Operated Single Spring Return Removal at 0 position 22 mm Control Unit"
B101AA32,"B101AA32
B Series Plastic 2NO (II-0-I) 60° Key Operated Double Spring Return Key Removal at 0 position 22 mm Control Unit"
B101AC20,"B101AC20
B Series Plastic 2NO (0-I) 60° Key Operated Stay Put Key Removal at all position 22 mm Control Unit"
B101AC30,"B101AC30
B Series Plastic 2NO (II-0-I) 60° Key Operated Stay Put Key Removal at all positions 22 mm Control Unit"
B101C,"B101C
B Series Plastic 2NO Handle Stay Put White (0-I) Marked 22 mm Control Unit"
B101DB,"B101DB
B Series Plastic 2NO Spring Flush White 22 mm Control Unit"
B101DBOD,"B101DBOD
B Series Plastic 2NO Spring Flush White Vertical (Arrow) Sign Marked 22 mm Control Unit"
B101DH,"B101DH
B Series Plastic 2NO Spring Flush Black 22 mm Control Unit"
B101DK,"B101DK
B Series Plastic 2NO Spring Flush Red 22 mm Control Unit"
B101DM,"B101DM
B Series Plastic 2NO Spring Flush Blue 22 mm Control Unit"
B101DS,"B101DS
B Series Plastic 2NO Spring Flush Yellow 22 mm Control Unit"
B101DY,"B101DY
B Series Plastic 2NO Spring Flush Green 22 mm Control Unit"
B101DYOD,"B101DYOD
B Series Plastic 2NO Spring Flush Green Vertical (Arrow) Sign Marked 22 mm Control Unit"
B101FH,"B101FH
B Series Plastic 2NO Spring Stay Put Black 22 mm Control Unit"
B101FK,"B101FK
B Series Plastic 2NO Spring Stay Put Red 22 mm Control Unit"
B101FM,"B101FM
B Series Plastic 2NO Spring Stay Put Blue 22 mm Control Unit"
B101FY,"B101FY
B Series Plastic 2NO Spring Stay Put Green 22 mm Control Unit"
B101HK,"B101HK
B Series Plastic 2NO Spring Extended Red 22 mm Control Unit"
B101HY,"B101HY
B Series Plastic 2NO Spring Extended Green 22 mm Control Unit"
B101K20BB12,"B101K20BB12
B Series Plastic 2NO Double Flush White-White (I-II) Marked 22 mm Control Unit"
B101K20HB,"B101K20HB
B Series Plastic 2NO Double Flush Black-White 22 mm Control Unit"
B101K20HBOK,"B101K20HBOK
B Series Plastic 2NO Double Flush Black-White (Arrow) Sign Marked 22 mm Control Unit"
B101K20HH,"B101K20HH
B Series Plastic 2NO Double Flush Black-Black 22 mm Control Unit"
B101K20HHOK,"B101K20HHOK
B Series Plastic 2NO Double Flush Black-Black (Arrow) Sign Marked 22 mm Control Unit"
B101K20HSLZ,"B101K20HSLZ
B Series Plastic 2NO Double Flush Black-Yellow (Light- Bell) Signs Marked 22 mm Control Unit"
B101K20KY,"B101K20KY
B Series Plastic 2NO Double Flush Red-Green 22 mm Control Unit"
B101K20KY10,"B101K20KY10
B Series Plastic 2NO Double Flush Red-Green (0-I) Marked 22 mm Control Unit"
B101K20SH10,"B101K20SH10
B Series Plastic 2NO Double Flush Yellow-Black (0-I) Marked 22 mm Control Unit"
B101K20SS12,"B101K20SS12
B Series Plastic 2NO Double Flush Yellow-Yellow (I-II) Marked 22 mm Control Unit"
B101K20YY,"B101K20YY
B Series Plastic 2NO Double Flush Green-Green 22 mm Control Unit"
B101K20YY12,"B101K20YY12
B Series Plastic 2NO Double Flush Green-Green (I-II) Marked 22 mm Control Unit"
B101K20YYOK,"B101K20YYOK
B Series Plastic 2NO Double Flush Green-Green (Arrow) Sign Marked 22 mm Control Unit"
B101K21KY,"B101K21KY
B Series Plastic 2NO Double Single Extended Red-Green 22 mm Control Unit"
B101S20,"B101S20
B Series Plastic 2NO (0-I) 60° Selector Stay Put 22 mm Control Unit"
B101S21,"B101S21
B Series Plastic 2NO (0-I) 60° Selector Stay Put 22 mm Control Unit"
B101S30,"B101S30
B Series Plastic 2NO (II-0-I) 60° Selector Stay Put 22 mm Control Unit"
B101S31,"B101S31
B Series Plastic 2NO (II-0-I) 60° Selector Single Spring Return 22 mm Control Unit"
B101S32,"B101S32
B Series Plastic 2NO (II-0-I) 60° Selector Double Spring Return 22 mm Control Unit"
B101SL20B,"B101SL20B
B Series Plastic 2NO (0-I) 60° Selector Stay Put Illuminated White 22 mm Control Unit"
B101SL20H,"B101SL20H
B Series Plastic 2NO (0-I) 60° Selector Stay Put Illuminated Black 22 mm Control Unit"
B101SL20K,"B101SL20K
B Series Plastic 2NO (0-I) 60° Selector Stay Put Illuminated Red 22 mm Control Unit"
B101SL20M,"B101SL20M
B Series Plastic 2NO (0-I) 60° Selector Stay Put Illuminated Blue 22 mm Control Unit"
B101SL20S,"B101SL20S
B Series Plastic 2NO (0-I) 60° Selector Stay Put Illuminated Yellow 22 mm Control Unit"
B101SL20Y,"B101SL20Y
B Series Plastic 2NO (0-I) 60° Selector Stay Put Illuminated Green 22 mm Control Unit"
B101SL30B,"B101SL30B
B Series Plastic 2NO (II-0-I) 60° Selector Stay Put Illuminated White 22 mm Control Unit"
B101SL30H,"B101SL30H
B Series Plastic 2NO (II-0-I) 60° Selector Stay Put Illuminated Black 22 mm Control Unit"
B101SL30K,"B101SL30K
B Series Plastic 2NO (II-0-I) 60° Selector Stay Put Illuminated Red 22 mm Control Unit"
B101SL30M,"B101SL30M
B Series Plastic 2NO (II-0-I) 60° Selector Stay Put Illuminated Blue 22 mm Control Unit"
B101SL30S,"B101SL30S
B Series Plastic 2NO (II-0-I) 60° Selector Stay Put Illuminated Yellow 22 mm Control Unit"
B101SL30Y,"B101SL30Y
B Series Plastic 2NO (II-0-I) 60° Selector Stay Put Illuminated Green 22 mm Control Unit"
B101SL31B,"B101SL31B
B Series Plastic 2NO (II-0-I) 60° Selector Single Spring Return Illuminated White 22 mm Control Unit"
B101SL31H,"B101SL31H
B Series Plastic 2NO (II-0-I) 60° Selector Single Spring Return Illuminated Black 22 mm Control Unit"
B101SL31K,"B101SL31K
B Series Plastic 2NO (II-0-I) 60° Selector Single Spring Return Illuminated Red 22 mm Control Unit"
B101SL31M,"B101SL31M
B Series Plastic 2NO (II-0-I) 60° Selector Single Spring Return Illuminated Blue 22 mm Control Unit"
B101SL31Y,"B101SL31Y
B Series Plastic 2NO (II-0-I) 60° Selector Single Spring Return Illuminated Green 22 mm Control Unit"
B101SL32B,"B101SL32B
B Series Plastic 2NO (II-0-I) 60° Selector Double Spring Return Illuminated White 22 mm Control Unit"
B101SL32H,"B101SL32H
B Series Plastic 2NO (II-0-I) 60° Selector Double Spring Return Illuminated Black 22 mm Control Unit"
B101SL32K,"B101SL32K
B Series Plastic 2NO (II-0-I) 60° Selector Double Spring Return Illuminated Red 22 mm Control Unit"
B101SL32M,"B101SL32M
B Series Plastic 2NO (II-0-I) 60° Selector Double Spring Return Illuminated Blue 22 mm Control Unit"
B101SL32S,"B101SL32S
B Series Plastic 2NO (II-0-I) 60° Selector Double Spring Return Illuminated Yellow 22 mm Control Unit"
B101SL32Y,"B101SL32Y
B Series Plastic 2NO (II-0-I) 60° Selector Double Spring Return Illuminated Green 22 mm Control Unit"
B101T20,"B101T20
B Series Plastic 2NO (0-I) 90° Selector Stay Put 22 mm Control Unit"
B102AA20,"B102AA20
B Series Plastic 1NO+1NC (0-I) 60° Key Operated Stay Put Key Removal at 0 position 22 mm Control Unit"
B102AA21,"B102AA21
B Series Plastic 1NO+1NC (0-I) 60° Key Operated Spring Return Key Removal at 0 position 22 mm Control Unit"
B102AA30,"B102AA30
B Series Plastic 1NO+1NC (II-0-I) 60° Key Operated Stay Put Key Removal at 0 position 22 mm Control Unit"
B102AA31,"B102AA31
B Series Plastic 1NO+1NC (II-0-I) 60° Key Operated Single Spring Return Removal at 0 position 22 mm Control Unit"
B102AA32,"B102AA32
B Series Plastic 1NO+1NC (II-0-I) 60° Key Operated Double Spring Return Key Removal at 0 position 22 mm Control Unit"
B102AC20,"B102AC20
B Series Plastic 1NO+1NC (0-I) 60° Key Operated Stay Put Key Removal at all position 22 mm Control Unit"
B102AC30,"B102AC30
B Series Plastic 1NO+1NC (II-0-I) 60° Key Operated Stay Put Key Removal at all positions 22 mm Control Unit"
B102B20HB,"B102B20HB
B Series Plastic 1NO+1NC Double Big Flush Black-White 22 mm Control Unit"
B102B20KY,"B102B20KY
B Series Plastic 1NO+1NC Double Big Flush Red-Green 22 mm Control Unit"
B102C,"B102C
B Series Plastic 1NO+1NC Handle Stay Put White (0-I) Marked 22 mm Control Unit"
B102DB,"B102DB
B Series Plastic 1NO+1NC Spring Flush White 22 mm Control Unit"
B102DBOD,"B102DBOD
B Series Plastic 1NO+1NC Spring Flush White Vertical (Arrow) Sign Marked 22 mm Control Unit"
B102DH,"B102DH
B Series Plastic 1NO+1NC Spring Flush Black 22 mm Control Unit"
B102DHOD,"B102DHOD
B Series Plastic 1NO+1NC Spring Flush Black Vertical (Arrow) Sign Marked 22 mm Control Unit"
B102DK,"B102DK
B Series Plastic 1NO+1NC Spring Flush Red 22 mm Control Unit"
B102DM,"B102DM
B Series Plastic 1NO+1NC Spring Flush Blue 22 mm Control Unit"
B102DS,"B102DS
B Series Plastic 1NO+1NC Spring Flush Yellow 22 mm Control Unit"
B102DY,"B102DY
B Series Plastic 1NO+1NC Spring Flush Green 22 mm Control Unit"
B102E,"B102E
B Series Plastic 1NO+1NC Emergency 40 mm Turn to Release Red 22 mm Control Unit"
B102E30,"B102E30
B Series Plastic 1NO+1NC Emergency 30 mm Turn to Release Red 22 mm Control Unit"
B102E60,"B102E60
B Series Plastic 1NO+1NC Emergency 60 mm Turn to Release Red 22 mm Control Unit"
B102EE,"B102EE
B Series Plastic 1NO+1NC Emergency 40 mm Turn to Release with Label Red 22 mm Control Unit"
B102EG,"B102EG
B Series Plastic 1NO+1NC Emergency 40 mm Turn to Release with Position Curser Red 22 mm Control Unit"
B102FB,"B102FB
B Series Plastic 1NO+1NC Spring Stay Put White 22 mm Control Unit"
B102FK,"B102FK
B Series Plastic 1NO+1NC Spring Stay Put Red 22 mm Control Unit"
B102FY,"B102FY
B Series Plastic 1NO+1NC Spring Stay Put Green 22 mm Control Unit"
B102HB,"B102HB
B Series Plastic 1NO+1NC Spring Extended White 22 mm Control Unit"
B102HH,"B102HH
B Series Plastic 1NO+1NC Spring Extended Black 22 mm Control Unit"
B102HK,"B102HK
B Series Plastic 1NO+1NC Spring Extended Red 22 mm Control Unit"
B102HM,"B102HM
B Series Plastic 1NO+1NC Spring Extended Blue 22 mm Control Unit"
B102HS,"B102HS
B Series Plastic 1NO+1NC Spring Extended Yellow 22 mm Control Unit"
B102HY,"B102HY
B Series Plastic 1NO+1NC Spring Extended Green 22 mm Control Unit"
B102K20HB,"B102K20HB
B Series Plastic 1NO+1NC Double Flush Black-White 22 mm Control Unit"
B102K20HBOK,"B102K20HBOK
B Series Plastic 1NO+1NC Double Flush Black-White (Arrow) Sign Marked 22 mm Control Unit"
B102K20HHOK,"B102K20HHOK
B Series Plastic 1NO+1NC Double Flush Black-Black (Arrow) Sign Marked 22 mm Control Unit"
